name,group,09: Junior,01: High School,11: Senior,05: Freshman,13: Graduation,08: Experience,03: Admissions,12: Post Grad Plans,04: Pre-Frosh,14: First Outcomes,02: Apply,10: Experience,06: Experiences,07: Sophomore,id
Patricia White,Cohort T,15.1,0.04,1.213,,0,0.208,1.7,1.8,20.3,59,250,5.27,7.51,4.7,29291
Ann Albert,Cohort T,11.3,0.124,1.077,,0,0.152,4.85,1.2,13.2,67.55,184,3.79,5.31,3.59,29292
Delores Shunk,Cohort T,19.7,0.015,1.201,,0,0.312,1.6,0.3,1,74.3,94,0.3,0.33,0.19,29293
Stephen Metcalf,Cohort T,15,0.011,1.192,,0,0.205,4.5,1.7,0.7,76.5,84,0.205,0.198,0.136,29294
Tracy Herman,Cohort T,19.1,0.017,1.177,,0,0.268,1.9,0.4,0.7,74.8,90,0.207,0.199,0.133,29295
Natalie Connor,Cohort T,19.3,0.016,1.288,,0,0.288,2.2,0.6,0.8,74,93,0.234,0.219,0.163,29296
Joe Anderson,Cohort T,17.1,0.006,0.966,,0,0.222,3.25,0.8,2,74.75,99,0.468,0.585,0.41,29297
Dennis Balfour,Cohort T,17.6,0.009,0.919,,0,0.262,2.4,1.1,2.3,74.8,100,0.63,0.74,0.51,29298
Jennifer Byrd,Cohort T,18.2,0.005,1.127,,0,0.29,0.9,0.9,4.1,73.1,113,1.06,1.14,0.7,29299
Sharon Cooper,Cohort T,14.3,0.009,0.679,0.5,0,0.176,15.4,,17.5,50.7,276,3.39,8.19,5.48,29300
Michael Anwar,Cohort T,15.3,0.04,1.004,,0,0.216,0.4,0.4,9.4,71.9,147,2.783,3.146,2.342,29301
Angela Bunch,Cohort T,15,0.031,1.018,,0,0.22,0.9,0.4,9.5,71.4,149,2.9,3.92,2.33,29302
Pamela Mceachern,Cohort T,14.8,0.026,0.946,,0,0.201,3.15,2.8,9.9,69.1,161,2.67,3.56,2.68,29303
Lynnette Seedorff,Cohort T,19.03,0.02,1.374,,0.0009,0.33,0.44,,10.44,65.77,172,2.794,4.436,0.258,29304
Willie Vick,Cohort T,15.2,0.008,1.225,,0.003,0.226,2.1,,25.6,53.6,304,8.96,12.26,3.42,29305
Nancy White,Cohort T,14.1,0.026,0.86,,0,0.17,2.2,,28.5,52.1,326,10.6,13.34,2.6,29306
Susana Jones,Cohort T,12.38,0.022,0.7,2.5,0.0035,0.17,5.89,1.65,25.45,53.53,305,9.925,12.286,2.427,29307
William Powell,Cohort T,14.4,0.011,1.329,,0,0.208,2.9,,26.2,52.5,308,11.214,12.288,0.863,29308
Nathan Naone,Cohort T,17.94,0.006,1.117,,0,0.308,2.59,,3.4,72.53,117,1.101,1.289,0.089,29309
Tammy Yoshizumi,Cohort T,15.23,0.039,1.032,,0.0385,0.461,1.35,1.26,13.9,65.72,196,4.514,7.02,1.47,29310
Julie Crosby,Cohort T,13.4,0,1.33,,0,0.409,4.6,,26.6,51.7,315,9.987,13.505,2.019,29311
Ben Butler,Cohort T,12.59,0.009,1.293,,0,0.202,2.33,,32.16,49.28,353,11.59,15.09,3.74,29312
Kathleen Malloy,Cohort T,12.5,0.006,1.289,,0.001,0.215,2.1,,30.3,51.5,334,10.79,14.29,3.56,29313
Michael Carter,Cohort T,12.5,0,0.946,,0.043,0.564,3.4,,25.1,55.5,293,8.873,12.34,2.666,29314
Jean Leitch,Cohort T,15.38,0.013,1.182,,0,0.245,1.58,,20.9,58.62,260,7.62,9.93,2.05,29315
Marilyn Trahan,Cohort T,18.4,0.036,1.225,,0,0.377,4.9,,4.8,68.2,141,1.58,2.33,0.51,29316
Louis Wood,Cohort T,11.76,0.122,0.003,,0.0167,0.313,11.63,,14.96,57.63,228,5.614,7.614,1.657,29317
Gertrude Horton,Cohort T,16.37,0.018,1.246,,0,0.163,3.05,,25.39,52.3,311,9.51,11.38,3.12,29318
Alice Styers,Cohort T,12.07,0.043,1.127,,0.001,0.225,7.53,,22.3,54.9,282,7.95,10.34,2.58,29319
Johnny Kantor,Cohort T,17.27,0.007,1.22,,0,0.321,4.83,,7.58,66.77,161,2.56,3.64,0.72,29320
Irene Moore,Cohort T,11.75,0.013,1.151,,0,0.156,5.6,2.3,14.5,65,200,5.82,7.16,0.47,29321
Timothy Haugen,Cohort T,11.05,0.012,1.179,,0,0.168,2.45,1.4,29.1,54.15,316,12.85,15.21,1.11,29322
Boris Welton,Cohort T,10.9,0.069,1.033,,0,0.154,2.4,1.4,29.4,53.7,318,10.49,14.48,3.93,29323
Harriet Ahmadi,Cohort T,12.6,0.015,0.977,,0,0.156,6,2.2,0.6,78,79,0.235,0.208,0.127,29324
Carole Maez,Cohort T,11.5,0.05,1.117,,0,0.163,5.7,2.6,14.75,64.75,202,5.62,7.3,1.54,29325
Debra Rogers,Cohort T,14.2,0.009,1.118,0.1,0.009,0.184,2.3,0.7,30.6,49.6,341,10.89,15.57,3.76,29326
Christopher Strain,Cohort T,14.25,0.009,1.159,0.2,0.009,0.202,2.6,1.2,29.35,50.5,331,10.94,15.48,3.73,29327
Dale Sullivan,Cohort T,19.85,0.01,1.438,,0,0.329,3.95,4.3,1.5,70.4,109,0.394,0.564,0.218,29328
Madeline Dafoe,Cohort T,18.3,0.012,1.242,,0,0.316,1.7,0.9,0.6,75.8,85,0.17,0.16,0.06,29329
Magnolia Mcdougall,Cohort T,14.6,0.011,1.084,,0,0.234,1.9,1.1,0.7,79.2,72,0.221,0.272,0.136,29330
Jonathan West,Cohort T,16.3,0.009,1.249,,0,0.26,3.65,2.2,11.15,65.25,180,4.056,5.829,1.275,29331
Linda Petersen,Cohort T,16.3,0.01,1.242,,0,0.268,1.83,1,3.52,74.45,104,0.851,1.165,1.314,29332
Mabel Syers,Cohort T,16.6,0.01,1.348,,0,0.283,1.2,0.3,3.7,74.6,104,1.247,1.727,0.356,29333
Carmen Ames,Cohort T,16.7,0.01,1.248,,0,0.281,3.1,3.1,3.5,72.7,111,1.167,1.669,0.314,29334
Megan Hightower,Cohort T,16.6,0.01,1.214,,0,0.268,0.1,0.1,3.6,75.8,99,1.222,1.673,0.345,29335
Ronda Shockley,Cohort T,13.85,0.067,1.167,,0,0.265,3.75,3.3,18.2,60.5,234,6.561,8.278,1.798,29336
Pauline Garcia,Cohort T,15.7,0.021,1.073,,0,0.029,,,13.5,67.5,185,4.299,6.913,1.344,29337
Robin Grier,Cohort T,15.2,0.009,1.105,,0.0027,0.214,2.6,1.3,26.4,52.2,313,9.3,13.1,4.1,29338
Charlie Turner,Cohort T,13.5,0.109,1.226,,0,0.27,7,4.6,16.9,58.6,234,5.367,7.393,2.789,29339
Lori Lara,Cohort T,13.1,0.113,1.184,,0,0.294,8,4.6,16.3,58.9,231,5.6,7.86,2.64,29340
Cliff Windham,Cohort T,9.9,0.111,1.318,,0,0.186,6.9,3.2,21.8,57.5,263,7.02,11.13,2.63,29341
Tamara Garcia,Cohort T,9.6,0.11,1.275,,0,0.174,9.1,6.9,21.6,55.8,269,6.99,10.43,2.81,29342
Nikita Cantu,Cohort T,16.3,0.016,0.836,,0,0.238,1,0.9,30.5,49.5,343,10.69,14.8,3.68,29343
Collin Lepore,Cohort T,20.7,0.02,1.826,,0,0.334,1.2,0.2,33.3,39.1,388,12.04,16.75,2.71,29344
Marvin Woods,Cohort T,13.5,0.009,1.231,,0,0.212,1.9,1.1,18.2,62.9,225,6.388,8.824,1.896,29345
Warren Byrnes,Cohort T,25.9,0.012,1.976,,0,0.356,1.6,0.2,28.7,38.25,368,11.085,15.011,2.856,29346
Cassandra Gordon,Cohort T,14.2,0.007,1.309,,0,0.207,1.9,1.1,15.7,64.5,206,6.74,6.91,0.78,29347
Todd Allen,Cohort T,13.4,0.075,1.095,,0,0.217,2.2,1.5,20.3,60.6,245,8.47,10.15,1.67,29348
Connie Burns,Cohort T,6.5,0.027,0.821,0.3,0,0.118,15.4,7.9,16.6,59.2,237,5.754,7.201,2.483,29349
Mattie Colunga,Cohort T,12.4,0.01,1.007,,0,0.18,1.7,1.6,27.3,55.5,302,9.38,13.17,2.78,29350
Cornelia Smith,Cohort T,12.25,0.011,0.967,,0,0.173,1.95,1.4,26.65,56.3,296,11.25,12.8,0.9,29351
Brenda Grundhoefer,Cohort T,12.9,0.045,1.046,,0,0.181,1.8,1.5,27.1,54.9,303,10.16,12.99,2.7,29352
Richard Binder,Cohort T,12.4,0.011,1.022,,0,0.173,1.8,1.4,27.1,55.5,301,9.444,12.889,2.87,29353
Lola Cleaves,Cohort T,13.5,0.067,1.036,,0,0.152,1.7,0.3,28.2,53.2,315,11.16,13.19,2.79,29354
Richard Miller,Cohort T,14.6,0.008,1.424,,0,0.233,1.9,1.1,27,52.5,309,11.8,12.9,1.13,29355
Kenna Keeton,Cohort T,14.9,0.009,1.43,,0,0.228,0.9,0.5,26.7,53.3,304,10.727,12.142,2.229,29356
Casey Ramirez,Cohort T,14.9,0.01,1.095,,0,0.218,3.6,1.1,0.6,77.5,80,0.18,0.15,0.11,29357
Ernestine Harley,Cohort T,11.35,0.01,1.025,,0,0.13,2.35,1.6,30.26,53.22,327,12.46,14.74,1.36,29358
Steven Mcginnis,Cohort T,11.1,0.013,1.025,,0,0.158,2.65,1.8,30.1,53.15,324,12.53,14.62,0.96,29359
Israel Brooks,Cohort T,13.2,0.02,0.927,,0,0.467,5.1,3.8,0.5,78,78,0.225,0.19,0.049,29360
Valeria Adamson,Cohort T,10.7,0.021,1.079,,0,0.401,4.1,2.1,14.9,66.8,193,6.32,7.52,0.99,29361
Kerry Cass,Cohort T,12,0.164,1.143,,0,0.131,2.8,1.8,28.7,52.9,318,10.025,13.104,3.849,29362
Scott Sadler,Cohort T,12.6,0.015,0.974,,0,0.471,4.3,2.1,0.6,78.8,73,0.2,0.21,0.11,29363
Jonathan Dingler,Cohort T,12.1,0.038,1.036,,0,0.397,2.8,1.5,14.9,66.7,194,5.199,6.763,2.044,29364
Zoe Platt,Cohort T,10.95,0.06,0.988,,0,0.162,2.7,1.8,29.9,53.35,327,9.467,13.806,4.255,29365
Viola Morvillo,Cohort T,10.9,0.013,1.039,,0,0.159,2.3,1.6,28.7,55,311,11.15,14.33,2.67,29366
Susan Campbell,Cohort T,11.8,0.015,0.827,,0,0.139,2.6,2.2,28.4,54.7,313,11.14,14.09,1.97,29367
Lori Brester,Cohort T,11.8,0.109,1.484,,0,0.297,9.2,,16.5,58.2,235,5.85,7.87,1.93,29368
Anna Johnson,Cohort T,14.59,0.006,0.883,,0,0.324,1.79,0.43,7.65,72.98,134,2.48,2.816,1.456,29369
Terri Bonsall,Cohort T,19.6,0.009,1.01,,0.0346,0.228,1.54,,1.16,74.3,95,,0.56,0.04,29370
Gerald Norris,Cohort T,16.3,0.011,0.981,0.1,0.0081,0.345,1.79,3.34,6.21,71.73,133,1.699,2.131,1.635,29371
Lacresha Jordan,Cohort T,13.45,0.01,0.386,,0.01,0.095,6.55,,13.1,65.64,201,4,5.28,2.46,29372
Stacy Towns,Cohort T,11.4,0.07,0.697,,0,0.138,4.67,,43.84,37.04,462,14.45,25.61,0.84,29373
Jonnie Gomez,Cohort T,14.2,0.07,0.697,,0.002,0.138,1.5,,28,53.9,319,9.57,12.36,3.16,29374
Sandy Piccinone,Cohort T,11.2,0.07,0.807,,0.002,0.138,6.3,,28.5,51.8,327,10.1,13.6,3.42,29375
Robert Martz,Cohort T,17.3,0.054,1.523,,0,0.394,4.53,4.61,6.37,67.4,149,2.28,3,0.5,29376
Danial Pugliares,Cohort T,22.68,0.022,1.653,,0.0007,0.279,,,43.98,30.72,494,14.86,17.166,3.426,29377
Laura Weeks,Cohort T,11.23,0.109,1.304,1.5,0.0078,0.371,8.46,8.46,15.95,60.29,225,5.287,7.06,2.804,29378
Laverne Andrews,Cohort T,14.92,0.047,1.164,,0,0.267,4.76,,16.64,60.2,232,6.07,7.68,1.89,29379
Douglas Garofalo,Cohort T,14.1,0.012,0.876,,0.001,0.237,1.63,,28.72,53.15,326,10.33,13.52,3.08,29380
Mary Harrison,Cohort T,13.8,0.01,0.805,,0,0.189,2.7,,36.25,44.55,396,12.96,17.18,3.9,29381
Jerome Sullivan,Cohort T,12.05,0.074,0.876,,0.0007,0.23,3.63,,30.64,50.68,342,9.881,13.054,4.504,29382
Page Boykin,Cohort T,13.7,0.015,0.689,,0,0.212,2.36,,37.63,44.1,407,6.701,8.615,2.368,29383
Edward Williamson,Cohort T,19.43,0.013,0.749,,0.0007,0.294,,,28.36,49.78,339,9.153,12.376,3.727,29384
Vincent Byrnes,Cohort T,15.09,0.009,0.636,,0.0007,0.248,,,26.53,56.22,304,8.796,11.814,3.558,29385
Jessica Hoagland,Cohort T,14.49,0.137,0.752,,0.0007,0.307,,,35.04,47.97,378,11.662,15.17,4.869,29386
Lillian Walker,Cohort T,11.64,0.01,0.377,,0.001,0.183,7.41,,13.52,66.17,200,3.45,3.25,6.22,29387
Michael Trinh,Cohort T,15.27,0.023,0.724,0.2,0.0002,0.259,3.73,0.71,16.28,61.7,223,6.4,5.587,0.427,29388
Ruth Goicoechea,Cohort T,21.7,0.01,1.89,,0,0.34,1.2,1.2,37,34.6,425,13.1,18.2,3.6,29389
Joseph Muzii,Cohort T,21.8,0.008,0.936,,0,0.378,6.4,,26.4,40.5,350,9.75,13.2,2.29,29390
Deborah White,Cohort T,12.6,0.006,1.14,,0,0.188,1.9,1.5,22.2,60,261,9.865,10.648,1.036,29391
Earl Burr,Cohort T,21.85,0.015,1.449,,0,0.316,2.4,0.96,25.9,45.19,336,9.316,11.127,2.529,29392
Jennifer Lee,Cohort T,19.3,0.04,1.004,0.1,0,0.216,1.55,1.12,9.21,68.93,172,2.783,3.172,2.466,29393
John Phelps,Cohort T,22.58,0.013,2.26,,0,0.378,1.6,,33.72,36.18,407,11.89,16,3.74,29394
Douglas Balcom,Cohort T,23.2,0.008,2.01,,0,0.378,3.8,,30.05,37.15,385,10.612,14.854,2.781,29395
James Vinz,Cohort T,15.01,0.094,0.623,0.2,0.0007,1.372,15.38,6.21,30.5,33.74,396,10.58,13.32,3.067,29396
Robert Beard,Cohort T,7.66,0.012,1.013,0.2,0,0.11,11.94,,17.34,60.28,235,5.977,7.584,2.565,29397
Gloria Faulkner,Cohort T,15.27,0.012,1.297,,0,0.283,2.59,2.35,17.2,60.97,230,6.08,8,1.58,29398
Norma Izzo,Cohort T,19.12,0.021,1.207,0.1,0.0001,0.304,4.27,0.86,27.31,47.13,344,9.655,12.777,3.507,29399
Matthew Walker,Cohort T,14.25,0.018,0.731,,0.002,0.253,0.65,,31.33,51.08,346,11.27,14.34,4.03,29400
Kenneth Goodwin,Cohort T,16.13,0.025,0.57,,0.0002,0.194,2.1,,8.42,71.6,149,3.257,3.629,0.493,29401
Rodney Esche,Cohort T,15.05,0.021,0.928,0.9,0.0304,0.197,4.65,3.2,8.75,68.5,158,,,,29402
Manuel Thomas,Cohort T,17.6,0.012,1.54,,0,0.237,3.6,,19.4,55.2,259,8.01,9.7,0.79,29403
Donnie Davison,Cohort T,12.07,0.007,0.848,,0,0.189,1.98,,26.56,56.58,301,9.207,12.302,2.826,29404
Kelly Vazquez,Cohort T,10.5,0.01,0.969,,0,0.101,2.6,,19.4,64.9,230,7.125,9.628,1.29,29405
Karen Lindenpitz,Cohort T,18.5,0.011,1.02,,0,0.139,,,24,55.6,295,7.16,10.19,4.72,29406
Denise Harrison,Cohort T,13.6,0.1,1.034,,0,0.246,8.1,1.9,14.3,60.5,216,4.8,7.165,0.846,29407
Coy Boston,Cohort T,12.89,0.057,0.848,,0,0.206,2.13,0.11,25.84,56.11,296,9.482,12.357,2.735,29408
Mary Pineda,Cohort T,12,0.012,0.911,,0,0.179,2.42,,28.73,53.97,320,9.769,12.238,3.927,29409
Wesley Nelson,Cohort T,19.43,0.081,1.483,0.2,0,0.206,1.82,0.12,37.91,36.2,426,10.47,13.68,3.02,29410
John Brahler,Cohort T,15.42,0.032,0.585,,0.0005,0.229,1.56,,18.09,63.12,235,3.839,5.158,4.657,29411
Sherry Snodgrass,Cohort T,15.05,0.021,0.928,0.9,0.0304,0.197,4.65,3.2,8.75,68.5,158,3.77,2.38,1.572,29412
Roy Lay,Cohort T,8.06,0.007,0.659,0.3,0.0025,0.158,14.06,0.2,13.87,62.47,213,4.732,6.156,1.664,29413
Autumn Bello,Cohort T,11.98,0.011,0.827,,0,0.483,0.18,0.94,28.23,56.49,307,9.313,11.212,3.626,29414
Bobbie Chambers,Cohort T,13.97,0.066,1.272,,0.0032,0.155,3.96,3,21.43,57.4,268,7.789,9.89,2.251,29415
Adam Gauthier,Cohort T,13.28,0.041,1.173,,0,0.286,1.92,,27.61,53.91,313,9.72,12.64,3.02,29416
William Easterling,Cohort T,12.69,0.074,0.827,,0,0.206,1.6,,27.37,55.31,307,,13.68,3.02,29417
Miguel Lynch,Cohort T,17.45,0.009,1.3,,0.0166,0.26,3.33,0.85,30.43,45.18,362,11.51,12.97,1.2,29418
Johnny Lafollette,Cohort T,22.7,0.032,0.878,,0.0011,0.337,0.7,,23,50.9,307,7.95,9.719,3.25,29419
Diane Hidalgo,Cohort T,17.07,0.008,1.015,0.5,0.0057,0.302,4.21,3.51,1.66,74.07,104,0.333,0.494,0.312,29420
Cheryl Ruel,Cohort T,22.81,0.008,0.772,0.5,0.0057,0.211,,3.51,0.88,74.07,99,0.198,0.294,0.186,29421
Naomi Weitkamp,Cohort T,17.5,0.008,1.114,0.2,0.0089,0.287,2.04,1.43,4.84,71.92,126,1.526,1.902,1.319,29422
Joanne Nabors,Cohort T,19.6,0.005,1.038,,0,0.299,2.93,,3.8,72,124,1.09,0.864,1.148,29423
Sandra Keener,Cohort T,18.14,0.032,0.586,,0,0.27,2.12,,6.99,70.15,149,2.04,2.3,1.78,29424
Kimberly Johnson,Cohort T,14.79,0.007,1.042,,0,0.427,5.03,,1.66,74.87,98,0.318,0.421,0.255,29425
Jenna Cluff,Cohort T,23.89,0.022,0.665,,0.0007,0.298,,,10.44,65.06,196,2.266,2.99,2.706,29426
Mee Olson,Cohort T,18.79,0.019,0.593,,0.0023,0.262,0.47,,8.08,70.42,155,1.963,2.624,2.386,29427
Christopher Leak,Cohort T,17,0.031,0.617,0.3,0,0.207,10.92,,10.3,59.59,204,2.871,3.876,2.541,29428
Steven Crandall,Cohort T,20.9,0,1.16,,0,0,1.31,,0.69,73.5,95,0.22,0.25,0.19,29429
Maryann Groulx,Cohort T,8,0.01,0.796,0.6,0.0019,0.243,11.54,,2.5,76.3,101,0.85,1.026,0.329,29430
Jimmy Janes,Cohort T,18.6,0.018,0.957,,0,0.204,2.6,,16.8,59.2,241,5.944,7.033,2.145,29431
Stefan Stevenson,Cohort T,13.5,0.016,1.2,0.4,0.01,0.349,7.7,4,3,72,112,0.118,0.591,0.37,29432
Moses Moore,Cohort T,17.5,0.005,0.82,,0,0.3,1.04,,12.77,65.87,189,3.944,5.685,1.565,29433
Monique Hatfield,Cohort T,14.95,0.009,0.507,,0,0.231,,,18.56,64.92,231,4.968,8.061,2.246,29434
Rodney Jackson,Cohort T,19.76,0.009,0.54,,0,0.239,,,20.26,58.66,267,5.532,8.71,2.312,29435
Carol Vazquez,Cohort T,14.8,0.019,0.936,,0,0,1.4,,22.6,58.2,268,7.9,,,29436
Robert Martinez,Cohort E,15.54,0.017,0.035,9.5,0.0025,0.353,71.15,0.42,7,3,353,1.325,2.148,2.752,29437
Natasha Gibbons,Cohort E,7.1,0.028,0.012,7.3,0,0.238,86,9.1,3.5,3,388,0.688,1.011,1.473,29438
Sandra Newcomer,Cohort E,5.7,0.03,0.05,,0,0.006,78.4,40,11.4,2,439,5.8,3.2,2.4,29439
Alan Hernandez,Cohort E,5.9,0.009,0.05,1.5,0,0.236,77.2,39,11.8,2,439,6.3,3.4,2.07,29440
Sylvester Denger,Cohort E,5.4,0.054,0.049,3.1,0,0.008,78.4,38.6,11.4,2,438,5.9,3.3,2.16,29441
Steven Schwenke,Cohort E,6.13,0.107,0.648,3.6,0.0525,0.165,85.9,39.25,2.33,2.68,389,0.525,0.975,0.775,29442
Christopher Pickett,Cohort E,3.33,0.333,0.533,,0.02,0.033,90,46.67,1.67,2.5,388,,1.667,,29443
Yolanda Braman,Cohort E,7.2,0.038,0.036,8.6,0,0.302,80.1,21.2,1.8,9.5,331,0.4,0.5,0.9,29444
John Lance,Cohort E,6.64,0.126,0.418,6,0.0179,0.224,76.98,28.73,9.82,4.26,408,1.65,6.54,0.84,29445
Brandon Pollard,Cohort E,9.5,0.173,0.05,8.5,0.0006,0.494,73.8,26.2,6.3,1.9,388,0.711,3.205,1.656,29446
Wilfred Beltran,Cohort E,4.6,0.333,0.612,2.2,0.02,0.135,82.9,26,6.8,2.3,403,0.7,4.5,1.4,29447
Alice Jones,Cohort E,6.67,0.333,0.45,3.3,0.02,0.2,76,43.33,11.67,2.1,433,1.67,6.67,3.33,29448
Richard Kerns,Cohort E,6.67,0.333,0.442,4,0.02,0.2,83.33,43.33,5,2.3,400,,3.33,1.67,29449
Elvis Hodge,Cohort E,7,0.455,0.586,6.3,0,0.286,78.8,25.45,4,6.27,358,1.4,1.3,0.9,29450
Helen Peyton,Cohort E,3.33,0.385,0.69,3.3,0.02,0.156,86.67,30,3.5,2.3,379,0.5,1.5,1.1,29451
Cassandra Harris,Cohort E,5.1,0.067,0.59,3.2,0.02,0.131,86.9,36.4,3.33,2.02,384,0.522,1.67,,29452
Ryan Rhee,Cohort E,11.33,0.408,0.571,10.1,0.0244,0.609,74.68,4.02,5.9,3.76,367,0.954,1.917,1.973,29453
Melanie Miera,Cohort E,5.4,0.357,0.57,6.1,0.0536,0.252,84.7,33.4,4,2.2,374,0.7,1.2,1.9,29454
Patrick Rehm,Cohort E,5.6,0.37,0.629,6.2,0.0556,0.291,83.4,34.5,5.1,2.2,380,1.1,1.6,2.1,29455
Raymond Larios,Cohort E,6.67,0.333,0.584,6.7,0.05,0.233,81.75,33.33,5.23,2.23,400,1.667,1.667,1.667,29456
Pamala Schauer,Cohort E,5.3,0.357,0.568,5.2,0.0214,0.23,84.8,42.86,4,2.34,378,0.551,1.607,1.145,29457
Shirley Kearse,Cohort E,5.27,0.451,0.701,3.8,0.0235,0.152,79.73,33.15,9.38,2.64,414,1.422,3.211,3.061,29458
Douglas Day,Cohort E,5.2,0.333,0.546,6.5,0.02,0.266,84.4,42.3,5.1,1.8,385,,3.33,,29459
John Cribbin,Cohort E,4.7,0.385,0.554,4.6,0.02,0.185,85.8,39.6,3.6,2.3,377,0.6,1,1.4,29460
Jennifer Elliott,Cohort E,4.3,0.37,0.587,3.8,0.02,0.194,86.4,44.9,3.7,2.02,382,0.692,1.633,0.703,29461
Rhonda Chirino,Cohort E,4.9,0.313,0.745,1.8,0.0188,0.169,80.9,26.2,8.3,2.2,411,1.3,5.1,1.6,29462
Penny Mccarthy,Cohort E,5,0.333,0.789,3.2,0.02,0.147,86,38,2.8,2.63,378,0.5,1.012,1.04,29463
Dewey Brown,Cohort E,4.9,0.714,0.718,8.9,0.02,0.15,77.4,22.1,10.2,2.64,381,1,6.8,2.1,29464
Maria Schilling,Cohort E,6.67,0.333,0.762,4,0.02,0.15,85.06,10,1.67,2.5,367,0.381,0.381,0.657,29465
Inez Almeida,Cohort E,6.12,0.204,0.49,10.2,0.0122,0.306,85.44,20.41,3.06,3,347,0.389,1.411,1.02,29466
Clayton Beam,Cohort E,3.7,0.37,0.643,11.1,0.0222,0.186,84.97,22.22,5.56,2.79,370,0.495,2.938,1.79,29467
Eve Morrison,Cohort E,6.67,0.333,0.352,47.3,0.02,0.6,83.33,,3.33,3.19,200,0.379,0.44,1.366,29468
Angela Stanley,Cohort E,6,0.2,0.452,16.7,0.012,0.263,82.5,21.5,5.9,2.8,352,1.2,2.3,2.3,29469
Earl Trevino,Cohort E,6.5,0.192,0.462,24.5,0,0.349,84.9,11.2,2.8,2.7,301,0.5,0.5,1,29470
Ellie Woodard,Cohort E,5.2,0.182,0.384,21,0,0.391,85.2,24.6,2.2,4.6,311,0.4,0.4,0.7,29471
Tamara Arroyo,Cohort E,8.4,0,0.002,13.7,0,0.305,81.7,20.3,1.7,6,321,0.3,0.3,0.7,29472
Anthony Bryan,Cohort E,5,0.303,0.59,3.2,0.02,0.131,86.9,37.3,3,2.02,384,0.5,0.9,1.3,29473
Frances Abrial,Cohort E,7.5,0.357,0.617,6,0.0214,0.208,82.6,36.8,3.9,2.2,378,0.9,1.4,1.4,29474
Maria Hafer,Cohort E,6.25,0.313,0.719,3.1,0.0188,0.141,77.55,34.38,10.94,2.05,438,0.592,7.81,1.56,29475
Maria Quinnie,Cohort E,3.65,0.333,0.6,,0.02,0.1,89.26,33.33,1.67,2.2,367,0.317,0.503,0.589,29476
Gail Leon,Cohort E,5.81,0.37,0.493,6,0.0556,0.217,85.6,33.33,3.9,2.55,370,0.456,1.458,1.407,29477
Rose Shah,Cohort E,10,0.37,0.639,7.3,0.07,0.259,80,31.11,4,2.07,367,,2.536,1.272,29478
Aaron Lyons,Cohort E,5.1,0.323,0.852,4.3,0.02,0.189,84.6,34.3,3.7,2.2,378,0.323,1.67,0.982,29479
David Aran,Cohort E,11,1.091,0.645,4,0.055,0.166,79,24,2.2,2.83,365,0.5,0.814,0.601,29480
Dale Neal,Cohort E,10.71,0.357,0.568,7.1,0.0214,0.411,77.33,32.14,5.36,2.2,393,,1.79,1.79,29481
Doris Moore,Cohort E,7.27,0.036,0.515,5.5,0.0109,0.245,83.64,30.91,4.55,2.15,382,,2.73,0.91,29482
Valerie Lucero,Cohort E,6.67,0.333,0.619,1,0.02,0.117,86,30,1.67,2.2,400,0.278,0.585,0.615,29483
Ida Strickler,Cohort E,3.33,0.333,0.633,3.3,0.02,0.133,87.26,20,3.33,2.37,400,0.452,1.116,1.341,29484
Susan Wright,Cohort E,6.8,0.57,0.631,8.9,0.0254,0.188,84.9,9.76,2.6,2.79,367,0.432,0.743,0.958,29485
Nubia Whitney,Cohort E,7.02,0.399,0.721,4.7,0.0233,0.182,82.9,39.93,3.63,3.17,407,0.602,1.195,1.183,29486
Xavier Sweitzer,Cohort E,6.9,0.213,0.564,12.1,0.0128,0.379,84.06,20.69,2.59,2.5,328,0.481,0.589,0.86,29487
Philip Vega,Cohort E,6.9,0.345,0.555,9.3,0.0517,0.292,83.34,20.69,3.45,2.5,379,0.531,1.011,1.38,29488
John Natera,Cohort E,8,0.036,0.376,5,0,0.279,80,33.41,4.6,6.72,386,0.85,2.115,1.142,29489
Sergio Middaugh,Cohort E,9.09,0.036,0.207,7.5,0.0109,0.327,77.25,29.09,8.18,2.86,400,0.91,3.64,2.73,29490
Mary Valero,Cohort E,7.27,0.036,0.491,7.3,0.0109,0.309,84,34.55,3.64,2.59,382,0.91,1.82,0.91,29491
Erica Kocieda,Cohort E,8.5,0.032,0.196,7.5,0,0.346,83.1,31.9,3.9,2.5,382,0.8,1.1,1.3,29492
Doris Wright,Cohort E,7.27,0.036,0.461,9.8,0,0.35,76.36,27.27,6.36,7.54,364,0.91,2.73,0.91,29493
Christine Theroux,Cohort E,6.67,0.333,0.662,4,0.02,0.217,75.86,40,11.67,2.67,433,1.67,5,3.33,29494
Nicolas Adams,Cohort E,6.45,0.37,0.91,1,0.0222,0.167,85.42,7.41,1.61,2.5,382,0.348,0.552,0.525,29495
Martha Johnston,Cohort E,6.05,3.333,0.698,2.5,0.2,0.094,85.55,11,1.61,2.56,373,0.4,0.214,0.368,29496
James Healey,Cohort E,5.45,1.818,0.438,9.1,0,0.564,76.36,34.55,1.82,8.75,309,0.297,0.262,0.914,29497
Joseph Gebhart,Cohort E,9.3,2.041,0.195,8,0.1224,0.287,76.8,21.9,3.7,2.9,353,0.8,1.1,1.3,29498
